"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"130000050459";"#NULO#";"PCO";"IN";"INDEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"6";"DEPUTADO FEDERAL";"COLIGACAO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"130000050732";"JUNTOS COM O POVO";"PT / PR / PSB / DC / PC do B";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"20";"PSC";"PARTIDO SOCIAL CRISTÃO";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"33";"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"4";"VICE-GOVERNADOR";"COLIGACAO";"11";"PP";"PROGRESSISTAS";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"6";"DEPUTADO FEDERAL";"COLIGACAO";"11";"PP";"PROGRESSISTAS";"130000050355";"RECONSTRUÇÃO JÁ";"PSDB / PSD / SOLIDARIEDADE / PPS / DEM / PP";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"18";"REDE";"REDE SUSTENTABILIDADE";"130000050664";"#NULO#";"REDE";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"4";"VICE-GOVERNADOR";"COLIGACAO";"15";"MDB";"MOVIMENTO DEMOCRÁTICO BRASILEIRO";"130000050682";"#MinasTemJeito";"PDT / PODE / MDB / PROS / PRB / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"27";"DC";"DEMOCRACIA CRISTÃ";"130000050731";"DO LADO DO POVO";"PT / PC do B / PSB / DC / PR";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"4";"VICE-GOVERNADOR";"PARTIDO ISOLADO";"18";"REDE";"REDE SUSTENTABILIDADE";"130000050664";"#NULO#";"REDE";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"4";"VICE-GOVERNADOR";"COLIGACAO";"77";"SOLIDARIEDADE";"SOLIDARIEDADE";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"27";"DC";"DEMOCRACIA CRISTÃ";"130000050417";"#NULO#";"DC";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"3";"GOVERNADOR";"COLIGACAO";"27";"DC";"DEMOCRACIA CRISTÃ";"130000050731";"DO LADO DO POVO";"PT / PC do B / PSB / DC / PR";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"51";"PATRIOTA";"PATRIOTA";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"6";"DEPUTADO FEDERAL";"COLIGACAO";"13";"PT";"PARTIDO DOS TRABALHADORES";"130000050732";"JUNTOS COM O POVO";"PT / PR / PSB / DC / PC do B";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"19";"PODE";"PODEMOS";"130000050682";"#MinasTemJeito";"PDT / PODE / MDB / PROS / PRB / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"90";"PROS";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"130000050682";"#MinasTemJeito";"PDT / PODE / MDB / PROS / PRB / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"5";"SENADOR";"COLIGACAO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"4";"VICE-GOVERNADOR";"COLIGACAO";"65";"PC do B";"PARTIDO COMUNISTA DO BRASIL";"130000050731";"DO LADO DO POVO";"PT / PC do B / PSB / DC / PR";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"6";"DEPUTADO FEDERAL";"PARTIDO ISOLADO";"30";"NOVO";"PARTIDO NOVO";"130000050025";"#NULO#";"NOVO";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"19";"PODE";"PODEMOS";"130000050682";"#MinasTemJeito";"PDT / PODE / MDB / PROS / PRB / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"6";"DEPUTADO FEDERAL";"COLIGACAO";"35";"PMB";"PARTIDO DA MULHER BRASILEIRA";"130000050269";"RENOVAÇÃO";"PATRIOTA / PTC / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"30";"NOVO";"PARTIDO NOVO";"130000050025";"#NULO#";"NOVO";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"33";"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"130000050731";"DO LADO DO POVO";"PT / PC do B / PSB / DC / PR";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"27";"DC";"DEMOCRACIA CRISTÃ";"130000050731";"DO LADO DO POVO";"PT / PC do B / PSB / DC / PR";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"3";"GOVERNADOR";"COLIGACAO";"10";"PRB";"PARTIDO REPUBLICANO BRASILEIRO";"130000050682";"#MinasTemJeito";"PDT / PODE / MDB / PROS / PRB / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"4";"VICE-GOVERNADOR";"COLIGACAO";"51";"PATRIOTA";"PATRIOTA";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"COLIGACAO";"14";"PTB";"PARTIDO TRABALHISTA BRASILEIRO";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"31";"PHS";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"130000050333";"#NULO#";"PHS";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"5";"SENADOR";"COLIGACAO";"36";"PTC";"PARTIDO TRABALHISTA CRISTÃO";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"9";"1º SUPLENTE";"COLIGACAO";"43";"PV";"PARTIDO VERDE";"130000050682";"#MinasTemJeito";"PDT / PODE / MDB / PROS / PRB / PV";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"5";"SENADOR";"COLIGACAO";"33";"PMN";"PARTIDO DA MOBILIZAÇÃO NACIONAL";"130000050129";"RECONSTRUIR MINAS";"PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRIOTA / PMB";"D";"DEFERIDO"
"30/01/2022";"10:01:52";"2018";"2";"ELEIÇÃO ORDINÁRIA";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"MG";"MG";"MINAS GERAIS";"6";"DEPUTADO FEDERAL";"COLIGACAO";"51";"PATRIOTA";"PATRIOTA";"130000050269";"RENOVAÇÃO";"PATRIOTA / PTC / PMB";"D";"DEFERIDO"
